img1,img2,label
./Detectedface/ClientFace/0008/0008_00_00_02_5.jpg,./Detectedface/ImposterFace/0008/0008_00_02_03_0.jpg,0
./Detectedface/ClientFace/0008/0008_00_00_02_177.jpg,./Detectedface/ClientFace/0008/0008_00_00_02_263.jpg,1
./Detectedface/ClientFace/0006/0006_00_06_03_415.jpg,./Detectedface/ClientFace/0006/0006_00_06_03_367.jpg,1
./Detectedface/ClientFace/0005/0005_00_00_01_73.jpg,./Detectedface/ClientFace/0005/0005_00_00_01_195.jpg,1
./Detectedface/ClientFace/0004/0004_01_00_02_411.jpg,./Detectedface/ClientFace/0004/0004_01_00_02_426.jpg,1
./Detectedface/ClientFace/0005/0005_00_00_02_148.jpg,./Detectedface/ClientFace/0005/0005_00_00_02_0.jpg,1
./Detectedface/ClientFace/0007/0007_01_00_02_318.jpg,./Detectedface/ClientFace/0007/0007_01_05_03_385.jpg,1
./Detectedface/ClientFace/0005/0005_00_00_01_188.jpg,./Detectedface/ImposterFace/0005/0005_00_02_03_103.jpg,0
./Detectedface/ClientFace/0008/0008_00_00_02_212.jpg,./Detectedface/ImposterFace/0008/0008_00_03_02_405.jpg,0
./Detectedface/ClientFace/0003/0003_01_00_01_219.jpg,./Detectedface/ClientFace/0003/0003_01_00_01_168.jpg,1
./Detectedface/ClientFace/0008/0008_00_00_02_492.jpg,./Detectedface/ImposterFace/0008/0008_00_04_02_485.jpg,0
./Detectedface/ClientFace/0002/0002_01_00_01_96.jpg,./Detectedface/ClientFace/0002/0002_01_00_01_96.jpg,1
./Detectedface/ClientFace/0006/0006_00_06_03_157.jpg,./Detectedface/ImposterFace/0006/0006_00_03_02_258.jpg,0
./Detectedface/ClientFace/0002/0002_01_00_01_206.jpg,./Detectedface/ClientFace/0002/0002_01_00_01_158.jpg,1
./Detectedface/ClientFace/0005/0005_00_00_01_78.jpg,./Detectedface/ClientFace/0005/0005_00_00_02_463.jpg,1
./Detectedface/ClientFace/0008/0008_00_00_02_433.jpg,./Detectedface/ClientFace/0008/0008_00_00_02_306.jpg,1
./Detectedface/ClientFace/0003/0003_01_00_01_219.jpg,./Detectedface/ClientFace/0003/0003_01_00_01_51.jpg,1
./Detectedface/ClientFace/0004/0004_01_06_03_398.jpg,./Detectedface/ImposterFace/0004/0004_01_08_03_239.jpg,0
./Detectedface/ClientFace/0003/0003_01_00_01_382.jpg,./Detectedface/ImposterFace/0003/0003_01_01_02_172.jpg,0
./Detectedface/ClientFace/0003/0003_01_00_01_456.jpg,./Detectedface/ImposterFace/0003/0003_01_04_03_388.jpg,0
./Detectedface/ClientFace/0007/0007_01_05_03_426.jpg,./Detectedface/ClientFace/0007/0007_01_05_03_307.jpg,1
./Detectedface/ClientFace/0005/0005_00_00_02_456.jpg,./Detectedface/ImposterFace/0005/0005_00_04_03_378.jpg,0
./Detectedface/ClientFace/0002/0002_01_00_01_92.jpg,./Detectedface/ClientFace/0002/0002_01_00_01_323.jpg,1
./Detectedface/ClientFace/0008/0008_00_00_02_223.jpg,./Detectedface/ImposterFace/0008/0008_00_00_01_200.jpg,0
./Detectedface/ClientFace/0005/0005_00_00_02_456.jpg,./Detectedface/ImposterFace/0005/0005_00_02_03_141.jpg,0
./Detectedface/ClientFace/0006/0006_00_06_03_161.jpg,./Detectedface/ImposterFace/0006/0006_00_08_03_363.jpg,0
./Detectedface/ClientFace/0002/0002_01_00_01_323.jpg,./Detectedface/ClientFace/0002/0002_01_00_01_315.jpg,1
./Detectedface/ClientFace/0001/0001_00_00_02_388.jpg,./Detectedface/ClientFace/0001/0001_00_00_02_152.jpg,1
./Detectedface/ClientFace/0001/0001_00_00_01_369.jpg,./Detectedface/ClientFace/0001/0001_00_00_02_16.jpg,1
./Detectedface/ClientFace/0006/0006_00_06_03_187.jpg,./Detectedface/ImposterFace/0006/0006_00_03_03_214.jpg,0
./Detectedface/ClientFace/0005/0005_00_00_01_36.jpg,./Detectedface/ImposterFace/0005/0005_00_02_03_477.jpg,0
./Detectedface/ClientFace/0005/0005_00_00_02_441.jpg,./Detectedface/ClientFace/0005/0005_00_00_02_37.jpg,1
./Detectedface/ClientFace/0007/0007_01_00_01_481.jpg,./Detectedface/ImposterFace/0007/0007_01_02_02_280.jpg,0
./Detectedface/ClientFace/0004/0004_01_06_03_354.jpg,./Detectedface/ImposterFace/0004/0004_01_01_02_487.jpg,0
./Detectedface/ClientFace/0002/0002_01_00_01_136.jpg,./Detectedface/ImposterFace/0002/0002_01_00_01_490.jpg,0
./Detectedface/ClientFace/0006/0006_00_06_03_396.jpg,./Detectedface/ClientFace/0006/0006_00_06_03_342.jpg,1
./Detectedface/ClientFace/0003/0003_01_00_01_307.jpg,./Detectedface/ClientFace/0003/0003_01_00_01_112.jpg,1
./Detectedface/ClientFace/0001/0001_00_00_01_163.jpg,./Detectedface/ClientFace/0001/0001_00_00_01_372.jpg,1
./Detectedface/ClientFace/0004/0004_01_06_03_262.jpg,./Detectedface/ClientFace/0004/0004_01_00_02_426.jpg,1
./Detectedface/ClientFace/0008/0008_00_00_02_5.jpg,./Detectedface/ImposterFace/0008/0008_00_00_01_64.jpg,0
